task,level,target,kind,candidate,verdict,per_pair
easy000c,GRID,size,keep,출력=입력,pass,null
easy000c,GRID,size,const,=6x6,pass,null
easy000c,GRID,color,keep,출력=입력,pass,null
easy000d,GRID,size,keep,출력=입력,pass,null
easy000d,GRID,size,const,=6x6,pass,null
easy000d,GRID,color,keep,출력=입력,pass,null
easy000e,GRID,size,keep,출력=입력,pass,null
easy000e,GRID,size,const,=6x6,pass,null
easy000e,GRID,color,keep,출력=입력,pass,null
easy000f,GRID,size,keep,출력=입력,pass,null
easy000f,GRID,size,const,=6x6,pass,null
easy000f,GRID,color,keep,출력=입력,pass,null
easy000g,GRID,size,keep,출력=입력,pass,null
easy000g,GRID,color,keep,출력=입력,pass,null
easy000h,GRID,size,keep,출력=입력,pass,null
easy000h,GRID,color,keep,출력=입력,pass,null
easy000i,GRID,size,const,=5x5,pass,null
easy000i,GRID,size,transform,"H1=H0-1,W1=W0-1",pass,null
easy000i,GRID,size,transform·H,H1=H0,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0-1,pass,"[{""in"": [6, 6], ""expected"": 5, ""got"": 5, ""ok"": true}, {""in"": [6, 6], ""expected"": 5, ""got"": 5, ""ok"": true}]"
easy000i,GRID,size,transform·H,H1=H0+1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 7, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 7, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0*1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0//1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0-2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 4, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 4, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0+2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 8, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 8, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0*2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 12, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 12, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0//2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0-3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0+3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 9, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 9, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0*3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 18, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 18, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0//3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 2, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 2, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=W0,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=W0-1,pass,"[{""in"": [6, 6], ""expected"": 5, ""got"": 5, ""ok"": true}, {""in"": [6, 6], ""expected"": 5, ""got"": 5, ""ok"": true}]"
