idx,file_2ex,file_3ex,m_class,select,anchor,dest
1,mov2000a.json,mov2000b.json,M1,-,-,rel
2,mov2000c.json,mov2000d.json,M1,-,-,abs
3,mov2000e.json,mov2000f.json,M1,-,-,corner_br
4,mov2000g.json,mov2000h.json,M2,-,TL,rel
5,mov2000i.json,mov2000j.json,M2,-,TL,abs
6,mov2000k.json,mov2000l.json,M2,-,TL,corner
7,mov2000m.json,mov2000n.json,M2,-,BR,rel
8,mov2000o.json,mov2000p.json,M2,-,BR,abs
9,mov2000q.json,mov2000r.json,M2,-,BR,corner
10,mov2000s.json,mov2000t.json,M3,color,-,rel
11,mov2000u.json,mov2000v.json,M3,color,-,abs
12,mov2000w.json,mov2000x.json,M3,color,-,corner_br
13,mov2000y.json,mov2000z.json,M4,color,TL,rel
14,mov200aa.json,mov200ab.json,M4,color,TL,abs
15,mov200ac.json,mov200ad.json,M4,color,TL,corner
16,mov200ae.json,mov200af.json,M4,color,BR,rel
17,mov200ag.json,mov200ah.json,M4,color,BR,abs
18,mov200ai.json,mov200aj.json,M4,color,BR,corner
19,mov200ak.json,mov200al.json,M4,size,TL,rel
20,mov200am.json,mov200an.json,M4,size,TL,abs
21,mov200ao.json,mov200ap.json,M4,size,TL,corner
22,mov200aq.json,mov200ar.json,M4,size,BR,rel
23,mov200as.json,mov200at.json,M4,size,BR,abs
24,mov200au.json,mov200av.json,M4,size,BR,corner
25,mov200aw.json,mov200ax.json,M4,shape,TL,rel
26,mov200ay.json,mov200az.json,M4,shape,TL,abs
27,mov200ba.json,mov200bb.json,M4,shape,TL,corner
28,mov200bc.json,mov200bd.json,M4,shape,BR,rel
29,mov200be.json,mov200bf.json,M4,shape,BR,abs
30,mov200bg.json,mov200bh.json,M4,shape,BR,corner
