idx,file_2ex,file_3ex,object_class,rotate_count,rotate_deg,parity
1,rot2000a.json,rot2000b.json,mono,1,90,odd
2,rot2000c.json,rot2000d.json,mono,2,180,even
3,rot2000e.json,rot2000f.json,mono,3,270,odd
4,rot2000g.json,rot2000h.json,partial,1,90,even
5,rot2000i.json,rot2000j.json,partial,2,180,odd
6,rot2000k.json,rot2000l.json,partial,3,270,even
7,rot2000m.json,rot2000n.json,full,1,90,even
8,rot2000o.json,rot2000p.json,full,2,180,even
9,rot2000q.json,rot2000r.json,full,3,270,odd
10,rot2000s.json,rot2000t.json,sel_color,1,90,even
11,rot2000u.json,rot2000v.json,sel_color,2,180,odd
12,rot2000w.json,rot2000x.json,sel_color,3,270,even
13,rot2000y.json,rot2000z.json,sel_size,1,90,odd
14,rot200aa.json,rot200ab.json,sel_size,2,180,odd
15,rot200ac.json,rot200ad.json,sel_size,3,270,even
16,rot200ae.json,rot200af.json,sel_shape,1,90,even
17,rot200ag.json,rot200ah.json,sel_shape,2,180,even
18,rot200ai.json,rot200aj.json,sel_shape,3,270,odd
